,quality,latency_s,energy_j,memory_mb,thermal_c,tokens_per_sec,power_w,QEE,QLE,QRE
quality,1.0,-0.6075912824789624,-0.7739591331926055,-0.9273356817977975,-0.9140609707897747,0.8817484406443175,0.4766275382304729,0.9028647852022121,0.6011159271097054,0.8283975489423779
latency_s,-0.6075912824789624,1.0,0.8824210604004076,0.30260154830543645,0.2938174257193655,-0.8130592650792798,-0.9868704540245823,-0.8421045548153908,-0.9999022777222616,-0.9458843043639301
energy_j,-0.7739591331926055,0.8824210604004076,1.0,0.6124067855963105,0.6224587924011447,-0.7485249632753802,-0.8078057176384645,-0.9702796017690785,-0.8840565641934887,-0.9510972208997692
memory_mb,-0.9273356817977975,0.30260154830543645,0.6124067855963105,1.0,0.998269483670686,-0.6460968044655347,-0.1454400633616229,-0.7553024876404787,-0.2970575722692163,-0.5954946894302304
thermal_c,-0.9140609707897747,0.2938174257193655,0.6224587924011447,0.998269483670686,1.0,-0.6158989758124447,-0.13568676773321192,-0.7555709998322484,-0.28900888194910607,-0.5872778929666473
tokens_per_sec,0.8817484406443175,-0.8130592650792798,-0.7485249632753802,-0.6460968044655347,-0.6158989758124447,1.0,0.7413589306500458,0.8554617845936127,0.8054171931350806,0.9068109982419894
power_w,0.4766275382304729,-0.9868704540245823,-0.8078057176384645,-0.1454400633616229,-0.13568676773321192,0.7413589306500458,1.0,0.7446895267891998,0.987500834658917,0.881374868123708
QEE,0.9028647852022121,-0.8421045548153908,-0.9702796017690785,-0.7553024876404787,-0.7555709998322484,0.8554617845936127,0.7446895267891998,1.0,0.8405497028282012,0.9664447215123373
QLE,0.6011159271097054,-0.9999022777222616,-0.8840565641934887,-0.2970575722692163,-0.28900888194910607,0.8054171931350806,0.987500834658917,0.8405497028282012,1.0,0.9438655618748264
QRE,0.8283975489423779,-0.9458843043639301,-0.9510972208997692,-0.5954946894302304,-0.5872778929666473,0.9068109982419894,0.881374868123708,0.9664447215123373,0.9438655618748264,1.0
